Bairro,Azulejo-Imagem,Azulejo-Código,Procedência,Unnamed: 3,Dimensão-Formato,"Material, Técnica de Fabricação e Decorativa",Endereço,Uso-Aplicação,Altura,Largura,latitude,longitude
CidadeVelha,,FE 37-1-1,Portugal,,,Cerâmica e vidrado Estampinha,Demolido antes de 1986,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,,
Reduto,,FE 37-1-1,Portugal,,,Cerâmica e vidrado Estampinha,Demolido antes de 1986,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,,
Campina,,FE 38-1-1,França,,21 x 6 cm,Cerâmica e vidrado Estampinha,Rua 28 de Setembro n° 1181/1183,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",21,6,-1.450574,-48.4982834
Reduto,,FE 38-1-1,França,,21 x 6 cm,Cerâmica e vidrado Estampinha,Rua 28 de Setembro n° 1181/1183,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",21,6,-1.450574,-48.4982834
CidadeVelha,,FE 38-1-1,França,,21 x 6 cm,Cerâmica e vidrado Estampinha,Rua 28 de Setembro n° 1181/1183,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",21,6,-1.450574,-48.4982834
Comércio,,FE 39-1-1,Lisboa,Portugal,"13,6 x 6,9 cm",Cerâmica e vidrado Estampinha,"Avenida Nazaré n° 427, 435, 441, 449, 457, 463 e 489; Rua Arcipreste Manoel Teodoro n° 756;
 Rua Rodrigues dos Santos n° 305","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.6,6.9,-1.4522372,-48.485104
Comercio,,FE 40-1-1,Lisboa,Portugal,"13,4 x 6,8 cm",Cerâmica e vidrado Estampinha,Avenida 16 de Novembro n° 406; Rua 28 de Setembro n° 1187/1189,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,6.8,-1.1327089,-48.4566988
Nazaré,,FE 40-1-1,Lisboa,Portugal,"13,4 x 6,8 cm",Cerâmica e vidrado Estampinha,Avenida 16 de Novembro n° 406; Rua 28 de Setembro n° 1187/1189,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,6.8,-1.1327089,-48.4566988
Nazaré,,FE 41-1-1,Lisboa,Portugal,"13,3 x 6,5 cm",Cerâmica e vidrado Estampinha,Avenida 16 de Novembro n° 791,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.3,6.5,-1.1327089,-48.4566988
Nazaré,,FE 42-1-1,Lisboa,Portugal,"13,3 x 6,5 cm",Cerâmica e vidrado Estampinha,Travessa Pedro Albuquerque n° 65; Travessa Benjamin Constant n° 415; Avenida Nazaré n° 285; Travessa Campos Sales n° 517; Rua Angelo Custódio n° 35/41/45/47,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.3,6.5,-1.4590155,-48.5039701
